total=8637 named=933
AITriggerTypeClass::ChronoSphereCharged @ 0041f180
AITriggerTypeClass::CivilianHouseOwns @ 0041ec90
AITriggerTypeClass::ConditionMet @ 0041e720
AITriggerTypeClass::EnemyHouseOwns @ 0041eaf0
AITriggerTypeClass::HouseCredits @ 0041f230
AITriggerTypeClass::IronCurtainCharged @ 0041f0d0
AITriggerTypeClass::OwnerHouseOwns @ 0041ee90
AITriggerTypeClass::RegisterFailure @ 0041fe20
AITriggerTypeClass::RegisterSuccess @ 0041fd60
AbstractClass::AnnounceExpiredPointer @ 007258d0
AbstractClass::BecomeUntargetable @ 0070d4a0
AbstractClass::DistanceFrom @ 005f6440
AbstractClass::DistanceFrom3D @ 005f6360
AbstractClass::GetRTTIName @ 0040dcb0
AbstractClass::GetTargetDirection @ 005f3db0
AircraftClass::FindFireLocation @ 004197c0
AircraftClass::WhatAmI @ 00413d20
AircraftTypeClass::WhatAmI @ 0041c8b0
AirstrikeClass::ClearTarget @ 0041db40
AirstrikeClass::InvalidatePointer @ 0041d540
AirstrikeClass::ResetTarget @ 0041da20
AirstrikeClass::StartMission @ 0041d830
AlphaShapeClass::WhatAmI @ 00420960
AnimClass::Middle @ 00424f00
AnimClass::SetOwnerObject @ 00424b50
AnimClass::Start @ 00424ce0
AnimTypeClass::WhatAmI @ 00427530
AudioIDXData::ClearCurrentSample @ 00401910
AudioStream::AdjustAudioEventPanning @ 00406270
AudioStream::End @ 00405fd0
AudioStream::EndLooping @ 00406060
AudioStream::GetEvent @ 00406130
AudioStream::GetEventType @ 00406170
AudioStream::SetEvent @ 004060f0
AudioStream::Stop @ 00405d40
BeaconClass::Draw @ 00430250
BeaconClass::DrawRadar @ 00430650
BeaconClass::VisibleToPlayer @ 004308b0
BitText::DrawText @ 00434cd0
BitText::Print @ 00434b90
BombClass::Detonate @ 00438720
BombClass::Disarm @ 004389b0
BombClass::IsDeathBomb @ 004389f0
BombClass::TimeToExplode @ 00438a70
BombListClass::AddDetector @ 00439080
BombListClass::Plant @ 00438e70
BombListClass::PointerGotInvalid @ 00439150
BombListClass::RemoveDetector @ 004390d0
BombListClass::Update @ 00438bf0
BufferIOFileClass::Close @ 00431b20
BufferIOFileClass::Close @ 004325c0
BufferIOFileClass::Exists @ 00431f10
BufferIOFileClass::GetFileSize @ 004325a0
BufferIOFileClass::HasHandle @ 00431f30
BufferIOFileClass::Open @ 00431f70
BufferIOFileClass::OpenEx @ 00431f50
BufferIOFileClass::ReadBytes @ 004322a0
BufferIOFileClass::Seek @ 004324b0
BufferIOFileClass::SetFileName @ 00431e80
BufferIOFileClass::WriteBytes @ 00432050
BuildingClass::AfterDestruction @ 00441f60
BuildingClass::BeginMode @ 00447780
BuildingClass::CanBeOccupiedBy @ 00457ce0
BuildingClass::ClearBunker @ 00459470
BuildingClass::CreateEndPost @ 004533a0
BuildingClass::DestroyNthAnim @ 00451e40
BuildingClass::DisableStuff @ 00452480
BuildingClass::DisableTemporal @ 004521c0
BuildingClass::DrawInfoTipAndSpiedSelection @ 0043e7b0
BuildingClass::EmptyBunker @ 004595c0
BuildingClass::EnableStuff @ 00452410
BuildingClass::EnableTemporal @ 00452210
BuildingClass::FireLaser @ 0044abd0
BuildingClass::FirstActiveSWIdx @ 00457630
BuildingClass::FreezeInFog @ 00457aa0
BuildingClass::GetCurrentFrame @ 0043ef90
BuildingClass::GetPowerDrain @ 0044e880
BuildingClass::GetPowerOutput @ 0044e7b0
BuildingClass::GetRadialIndicatorRange @ 004566b0
BuildingClass::GetVoxelBarrelOffsetMatrix @ 00458810
BuildingClass::GoOffline @ 00452360
BuildingClass::GoOnline @ 00452260
BuildingClass::IsAllFogged @ 00457a10
BuildingClass::IsBeingDrained @ 0070fec0
BuildingClass::IsTraversable @ 004525f0
BuildingClass::KillOccupants @ 004585c0
BuildingClass::MakeTraversable @ 00452540
BuildingClass::PlayAnim @ 00451890
BuildingClass::PlayNthAnim @ 00451750
BuildingClass::SecondActiveSWIdx @ 00457690
BuildingClass::SetRallypoint @ 00443860
BuildingClass::ToggleDamagedAnims @ 00451ee0
BuildingClass::UnloadBunker @ 004593a0
BuildingClass::UpdateAnimations @ 004509d0
BuildingClass::UpdateBunker @ 00458e50
BuildingLightClass::SetBehaviour @ 00436be0
BuildingTypeClass::ClearBuildUp @ 00465af0
BuildingTypeClass::GetFoundationHeight @ 0045eca0
BuildingTypeClass::GetFoundationWidth @ 0045ec90
BuildingTypeClass::IsVehicle @ 00465d40
BulletClass::Detonate @ 004690b0
BulletClass::Explode @ 00468d80
BulletClass::InitScalable @ 0046b280
BulletClass::LoseTarget @ 00468430
BulletClass::NukeMaker @ 0046b310
BulletClass::Shrapnel @ 0046a310
BulletClass::WhatAmI @ 004664c0
BulletTypeClass::SetScaledSpawnDelay @ 0046c840
CCFileClass::CDCheck @ 004739f0
CCFileClass::Close @ 00473ce0
CCFileClass::Exists @ 00473c50
CCFileClass::GetFileSize @ 00473c00
CCFileClass::GetFileTime @ 00473e50
CCFileClass::Open @ 00473d10
CCFileClass::OpenEx @ 00401980
CCFileClass::ReadBytes @ 00473b10
CCFileClass::Seek @ 00473ba0
CCFileClass::SetFileName @ 00473fc0
CCFileClass::SetFileTime @ 00473f00
CCFileClass::WriteBytes @ 00473ae0
CDDriveManagerClass::GetCDNumber @ 004a80d0
CDFileClass::Open @ 0047aab0
CDFileClass::OpenEx @ 0047aa30
CDFileClass::OpenEx @ 0047af10
CDFileClass::SetFileName @ 0047ae10
CRCEngine::AddAmount @ 006c9690
CRCEngine::GetAmount @ 006c9680
CRCEngine::GetTotalAmount @ 006c9650
CRCEngine::GetTotalValue @ 006c9600
CRCEngine::RemoveAmount @ 006c96b0
CRCEngine::operator @ 004a1c10
CRCEngine::operator @ 004a1ca0
CRCEngine::operator @ 004a1d30
CRCEngine::operator @ 004a1d50
CRCEngine::operator @ 004a1d70
CRCEngine::operator @ 004a1d90
CRCEngine::operator @ 004a1de0
CRect @ 0042e410
CRect @ 0054a120
CRect @ 00645c30
CaptureManagerClass::CanCapture @ 00471c90
CaptureManagerClass::CannotControlAnyMore @ 004722a0
